Abbr,Definition,Sentence
PPL,Persatuan Pelancongan Langkawi,"Harian Metro Online semalamturut melaporkan PPL membuat laporan polis berhubung kelewatan projek menaiktaraf jalan raya di Pantai Chenang di sini, yang didakwa menyebabkan pencemaran debu, kesesakan lalu lintas, kerugian pendapatan dan mencacatkan pemandangan sekitar."
BHB,BIMB Holdings Berhad,"TANJUNG KARANG: Selepas kejayaan dua program Semarak Qurban, kumpulan BHB sekali lagi bekerjasama dengan BH menganjurkan Program Semarak Korban di Surau Nurul Huda, Kampung Sungai Kajang Baru."
MRM,Majlis Rekabentuk Malaysia,"Kuala Lumpur: Perodua Bezza dinobatkan sebagai kereta terbaik oleh MRM , agensi di bawah Kementerian Sains, Teknologi dan Inovasi (MOSTI) bagi kategori produk pengangkutan dan kawasan awam 2016."
ALP,Ahli Lembaga Pengarah,"Katanya, ahli lembaga pengarah (ALP) perlu berusaha mencari dan menjalin kerjasama dengan syarikat di seluruh dunia untuk dijadikan rakan niaga bagi membantu meningkatkan sumber pendapatan koperasi."
MTES,Majlis Tindakan Ekonomi Selangor,"MENTERI Besar Selangor, Mohamed Azmin Ali (tengah) menjawab soalan media ketika ditemui selepas mesyuarat MTES di Lobi Bangunan Sultan Salahuddin Abdul Aziz Shah, Shah Alam."
DTN,Dasar Transformasi Nasional,"Presiden UMNO berkata, sejak memimpin UMNO, Barisan Nasional (BN) bermula 26 Mac 2009 dan kemudiannya pada 3 April 2009 menjawat kedudukan Perdana Menteri pada 3 April 2009, pelbagai transformasi strategik di bawah lembayung DTN yang digagaskan secara rasmi pada 2010."
GPK,Guru Penolong Kanan," GPK sekolah agama persendirian itu, Mirani Achah berkata, sekolah terbabit dinaiki air Ahad lalu berikutan kolam takungan air milik Jabatan Pengairan dan Saliran (JPS) yang terletak tidak jauh dari sekolah berkenaan melimpah."
PGU,Pasukan Gerakan Udara,"Katanya, antara cawangan terbabit ialah Unit Tindakan Khas (UTK) , Pasukan Simpanan Persekutuan (FRU) , Unit Pemusnah Bom (UPB) , 69 Komando, PGU , Pasukan Gerakan Am (PGA) , Jabatan Siasatan Jenayah (JSJ) dan anggota tugas am."
KPK,Komisi Pembanterasan Korupsi,KUALA LUMPUR: Sesi dialog antara Pemerhati Rasuah Malaysia (MCW) dan  KPK dari Indonesia memberi fokus kepada isu dua hala termasuk masalah rasuah negara masing-masing.
PKN,Persatuan Kembara Negara,"Timbalan Presiden PKN Ahmad Fakhri Abu Samah berkata, tempoh seminggu terakhir itu perlu digunakan dengan sebaiknya oleh setiap pendaki bagi membuat persiapan secukupnya."
PPL,Persatuan Pelancongan Langkawi,"Langkawi: PPL hari ini membuat laporan polis berhubung kelewatan projek menaiktaraf jalan raya di Pantai Chenang di sini, yang didakwa menyebabkan pencemaran debu, kesesakan lalu lintas, kerugian pendapatan dan mencacatkan pemandangan sekitar."
HT,Hospital Taiping,"Selepas pelbagai usaha dilakukan pasangan terbabit di rumah mereka gagal, lelaki itu dikejarkan ke HT untuk mendapatkan bantuan."
KKTM,Kolej Kemahiran Tinggi MARA,"Ismail berkata, jelajah di kawasan Parlimen di sini, menyaksikan lebih 2,000 lepasan SPM dan STPM diterima masuk ke institusi pendidikan di bawah MARA seperti Giat MARA, Kolej Komuniti, Kolej Universiti Poly-Tech MARA Kuala Lumpur (KUPTM) dan KKTM ."
KPDNKK,Kementerian Perdangangan Dalam Negeri Koperasi dan Kepenggunaan,"Nibong Tebal: KPDNKK melumpuhkan sindiket penyalahgunaan subsidi gas petroleum cecair (LPG) dengan merampas 278 tong pelbagai saiz bernilai RM76,781 di Sungai Bakap, hari ini."
HM,Hospital Miri,"Sejak dilahirkan Robin pernah dimasukkan ke unit rawatan rapi (ICU) HM selama hampir dua bulan sebelum dirujuk kepada pakar perunding pediatrik di Hospital Gleneagles, di sini, katanya."
GB,Green Blue,"Premis ini dibekalkan dengan bekas pembungkusan makanan GB dan sistem AD bagi merawat sisa makanan yang dibuang setiap hari, katanya pada Majlis Pelancaran Tapak Rintis Premis Makanan Hijau dan Sistem AD di sini, hari ini."
AADK,Agensi Anti Dadah Kebangsaan,"KETUA Setiausaha Kementerian Wilayah Persekutuan, Datuk Seri Adnan Md Ikhsan (kiri) menerima buku Perancangan Strategik AADK 2015-2020, dari Ketua Pengarah AADK Datuk Suhaimi Abdullah di Kementerian Wilayah Persekutuan hari ini."
ILP,Institut Latihan Perindustrian,"NAJIB (kiri) sambil diperhatikan Bekas Perdana Menteri, Tun Abdullah Ahmad duduk dua dari kanan (Badawi) dan Ketua UMNO Bahagian Kepala Batas, Datuk Seri Reezal Merican Naina Merican (duduk kanan) ketika berucap merasmikan Mesyuarat Perwakilan UMNO Bahagian Kepala Batas di ILP Kepala Batas, semalam."
MTD,Maktab Tentera Diraja,Kuala Lumpur: Kementerian Pertahanan Malaysia menyasarkan pengambilan 20 peratus pelatih bukan Melayu bagi kemasukan ke MTD bagi merapatkan jurang antara kaum di institusi pengajian berkenaan.
JPN,Jasa Pahlawan Negara,"PETRA JAYA: Seramai 150 veteran Angkatan Tentera Malaysia (ATM) dan Polis Diraja Malaysia (PDRM) dikurniakan Pingat Jasa Malaysia (PJM) dan Pingat JPN , sempena sambutan Hari Pahlawan peringkat negeri, hari ini."
HBP,Hospital Balik Pulau,Suspek kes dadah terbabit bersama dua lagi tahanan dalam perjalanan ke HBP bagi mendapatkan rawatan.
ABP,agensi berkaitan pertanian,"Maka, agensi berkaitan tanah (ABT) , ABP , agensi berkaitan rumah (ABR) , agensi berkaitan wakaf (ABW) dan agensi lain yang berkaitan perlu mengambil daya usaha ke arah membebaskan tanah yang terpenjara dan seterusnya menambah nilai ekonomi tanah berkenaan dengan pendekatan sewajarnya."
JDT,Johot Darul Tazim,"Bagaimanapun, baki perlawanan bertemu JDT dan Perak amat getir dengan hanya kemenangan ke atas kedua-dua pasukan itu sahaja mampu menjamin PKNS ke suku akhir, katanya."
JNAS,Jabatan Negara Amerika Syarikat,Laporan Tahunan JNAS mengenai pemerdagangan orang bagi tahun 2014 yang dikeluarkan pada 20 Jun lalu meletakkan Malaysia di Tahap 3 berbanding Senarai Pemerhatian Tahap 2 sebelum ini.
GSL,Group Support Like,"Kuala Lumpur: GSLike Services, syarikat yang memfokus kepada pemasaran melalui medium online dan media sosial, menyasarkan 7,000 peserta bagi program GSL menjelang akhir tahun ini."
CFS,Car Food Sahur,"Kuala Terengganu: Bersahur di tepi pantai sambil mendengar alunan muzik daripada pemuzik jalanan antara daya penarik utama CFS yang dianjurkan di tepi Pantai Batu Buruk, di sini, sejak 10 Ramadan lalu hingga 27 Ramadan depan."
LAM,Lembaga Arkitek Malaysia,"Beliau berkata, anugerah MIID Reka 2015 dibuka kepada ahli korporat MIID yang bergiat dalam bidang rekabentuk dalaman dan berdaftar dengan LAM serta ahli pelajar MIID daripada pelbagai institusi rekabentuk dalaman di Malaysia."
SIMP,Sri Indera Mahkota Pahang,"Sementara itu, lima individu menerima Darjah Kebesaran SIMP yang membawa gelaran Datuk antaranya Pengarah Urusan APEX Capacity Sdn Bhd, Tengku Datuk Yusof Tengku Zainal Karib; Timbalan Ketua Pengarah (Operasi) Agensi Penguatkuasaan Maritim Malaysia, Laksamana Madya (Maritim) Datuk Mohd Taha Ibrahim; Wakil Peribadi Anggota Parlimen Pekan, Datuk Zainal Abidin Pawan dan Pegawai Khas Perdana Menteri, Datuk Mohd Aripin Daud."
APU,Angkatan Perpaduan Ummah,"S: Kerjasama PAS sebelum ini seperti dalam APU , Barisan Alternatif dan Pakatan Rakyat boleh dikatakan semuanya gagal."
MAIM,Majlis Amal Islami Malaysia,"Sesi pidato pada sebelah malam turut menampilkan tokoh agama diketuai, Mufti Wilayah Persekutuan, Datuk Dr Zulkifli Al-Bakri; Pengerusi Sekretariat Ulamak & Umarak, Datuk Jailani Ngah; Datuk Dr Hassan Ali serta jurucakap MAIM , Dr Yusri Mohamad."
PPN,Peraturan Pendaftaran Negara,"Suspek yang berasal dari Buntong di sini itu dituduh di mahkamah semalam mengikut Seksyen 411 Kanun Keseksaan dan Seksyen 25 (n) PPN 1990 sebelum dibenarkan ikat jamin RM4,000 namun gagal membayar ikat jamin berkenaan."
PKPN,Projek Khas Perumahan Nelayan,"Pengarah SPRM Terengganu Zainal Adam berkata, kesemua individu yang ditahan adalah kontraktor yang dilantik di bawah PKPN bagi Parlimen Dungun dan Paka pada 2012."
DTC,Dynamic Traction Control,"Ia turut menawarkan tiga mod tunggangan Rain, Road, dan Dynamic selain DTC untuk keselamatan maksimum ketika memecut."
KPAS,Kesihatan Pekerjaan dan Alam Sekitar,"Katanya, melalui Unit KPAS , penerangan kesihatan mental turut diadakan kepada semua anggota kesihatan, sama ada di peringkat ibu pejabat, hospital mahupun Pejabat Kesihatan Daerah."
IPTA,institusi pendidikan tinggi awam,BESUT: Kongres Kesatuan Pekerja-Pekerja Di Dalam Perkhidmatan Awam (Cuepacs) berharap kerajaan mengkaji semula pemotongan peruntukan terhadap Institusi Pendidikan Tinggi Awam (IPTA) .
BBCC,Bukit Bintang City Centre,Kemudahan pengangkutan itu akan memberikan keselesaan kepada penghuni ditambah pula dengan pelbagai kemudahan lain yang disediakan di dalam pelan induk pembangunan BBCC .
FUT,FIFA Ultimate Team,"Boleh dikatakan pemain luar amat berpengalaman dan kejohanan ini menggunakan format FUT , berbeza dengan apa yang saya pelajari sekarang."
RS,Rejimen Sempadan,Rantau Panjang: Kurang seminggu lagi umat Islam akan menyambut Aidilfitri namun 13 pegawai dan 637 anggota Batalion Ke-4 RS setia menjaga keselamatan di sempadan Kelantan-Thailand.
SJK,sekolah jenis kebangsaan,"Antara 10 janji bagi tempoh lima tahun ialah mengembalikan biasiswa Kerajaan Johor, mewujudkan Universiti Johor, menyediakan 200,000 peluang pekerjaan, membina 100,000 unit RMMJ, melaksanakan Skim Sewa-Beli RMMJ, dan menyediakan tapak bagi sekolah agama persendirian, SJK Cina serta SJK Tamil."
STAR,Shangrila Tanjung Aru Resort,"Pembantu Menteri Pelancongan, Kebudayaan dan Alam Sekitar negeri, Datuk Pang Yuk Ming, berkata hanya tiga jeti sahaja dibenarkan bagi tujuan aktiviti pelancongan di sekitar bandar raya iaitu Jeti Sutera, Jesselton Point dan STAR ."
PAT,Pesta Angin Timur,KANGAR: Penganjuran PAT di negeri bakal menjadi acara pembukaan Tahun Melawat Malaysia 2020 (VMY2020) .
PPL,Pesta Pantai Langkawi,"Langkawi: Sukan tradisi seperti pukul bantal, tarik tali berperahu, kayak pecut dan panjat tiang licin antara 20 acara yang mewarnai kemeriahan PPL selama dua hari bermula kelmarin, di Jalan Pantai Tanjung Rhu, di sini."
KSSM,Kurikulum Standard Sekolah Menengah,"Ketiga, penyemakan semula kokurikulum mata pelajaran Pendidikan Islam di bawah KSSM dan Kurikulum Standard Sekolah Rendah (KSSR) pada tahun ini."
MDL,Majlis Daerah Lenggong,"Seramai 36 anggota dari Balai Bomba dan Penyelamat (BBP) Lenggong, Kuala Kangsar dan Gerik, lapan anggota polis, lima anggota Angkatan Pertahanan Awam Malaysia (APM) dan 10 kakitangan MDL menjalankan kerja pemindahan serta menyelamat di kampung terbabit."
SKPK,Standard Kemahiran Pekerjaan Kebangsaan,Kita mengambil masa lapan bulan bagi membangunkan standard ini yang akan memperkenalkan 17 modul SKPK yang berkaitan air dan sistem pembetungan.
PAN,Parti Amanah Nasional,"Sebagai contoh, Dessy Ratnasari yang terkenal dengan lagu, Tenda Biru terpilih sebagai ahli Dewan Perwakilan Rakyat (DPR) bagi mewakili PAN untuk tempoh 2014 hingga 2019."
JIPS,Jabatan Integriti dan Pemantauan Standard,"NIBONG TEBAL: Sejumlah 4,884 kertas siasatan membabitkan tindakan tatatertib terhadap anggota Polis Diraja Malaysia (PDRM) direkodkan JIPS Bukit Aman, sepanjang tahun lalu."
MPSM,Majlis Pengetua Sekolah Menengah,Agihan ini dibuat dengan kerjasama MPSM dan Majlis Guru Besar (MGB) Kota Bharu.
THP,Telaga Habour Park,"Semangat tidak mudah mengalah inilah yang beliau dan kerajaan mahu terapkan secara percuma kepada belia, khususnya anak muda Langkawi menerusi KORAL, katanya pada sidang media selepas merasmikan Hari KORAL di THP di sini."
PHP,Persatuan Hoki Perak,"Presiden PHP , Datuk Abdul Rahim Md Ariff, berkata kejohanan kali pertama itu mempertandingkan tiga kategori iaitu Perdana (Terbuka) , Super (B17) dan Wanita."
PRS,Parti Rakyat Sarawak,"Selain PBB, BN Sarawak memiliki tiga lagi parti komponen iaitu Parti Rakyat Bersatu Sarawak (SUPP) , PRS dan Parti Progresif Demokratik (PDP) ."
YP,Yayasan Pahang,"Suri rumah dari Perkampungan Cenderawasih, di sini berkata, panggilan telefon daripada pihak YP , petang semalam (kelmarin) membuatkan anak teruja dan tidak sabar pergi ke pasar raya."
ABK,Anugerah Bolasepak Kebangsaan,"PENYERANG terbaik ABK 2017, Muhammad Shahrel Fikri mendedahkan, kecederaan antara faktor yang mendorongnya untuk membatalkan niat berpindah ke Johor Darul Tazim (JDT) II dan memilih untuk kekal bersama Perbadanan Kemajuan Negeri Perak (PKNP) FC dalam kancah bola sepak Liga M 2018."
SCL,Strategic Communications Laboratories,"Laporan minggu lalu dalam akhbar South China Morning Post menyatakan firma induk Cambridge Analytica, SCL , mendakwa ia membantu kemenangan Duterte."
PSSGM,Pertubuhan Silat Seni Gayung Malaysia,"Pengerusi Lembaga Beradat Kebangsaan PSSGM , Datuk Adiwijaya Abdullah, berkata menerusinya, semangat perjuangan generasi terdahulu dapat disuntik kembali kepada pelapis pimpinan negara."
YPU,Yayasan Perdana Ummah,"Buktinya jelas, selain rakan rapatnya, Syed Wafa sewaktu pelepasan rombongan penggiat seni menunaikan umrah yang disempurnakan Pengerusi YPU , Profesor Datuk Seri Khairil Annas Jusoh dan Penasihat Perdana Menteri, Profesor Datuk Seri Khairil Annas Jusoh, ada insan lain yang tidak menjadi tumpuan media iaitu Datuk Sahwahid Mohamad Amin turut mengucapkan selamat jalan kepada Zaiton dan penggiat seni lain."
SME,Subjek Material Expert,"Abd Razak berkata, setakat ini anggota dan pegawai yang terpilih akan mengikuti SME iaitu subjek dalam konteks pengajaran dan penggunaan untuk menangani reptilia berbisa ini terutama di kawasan yang banyak menerima panggilan berkaitan ular."
PBS,Pasukan Bomba Sukarela,"Katanya, operasi memadam kebakaran itu turut dibantu anggota dari BBP Jalan Raja dan lima PBS ."
EB,Ejen Bank,"Adinan berkata, sebelum ini juga BSN turut pernah melakukan penjenamaan menerusi pelancaran perkhidmatan ejen bank (EB) pada 2012 sebagai usaha meningkatkan tahap kecekapan dan perkhidmatan sedia ada yang diperkenalkan."
ABMB,Abu Bakar Maritime Base,"Sehubungan itu, Agensi Penguatkuasaan Maritim Maritim Malaysia (Malaysia) Wilayah Selatan mengaktifkan operasi mencari dan menyelamat (SAR) selepas menerima laporan dari ABMB , pada jam 4."
BI,Bahasa Inggeris,Kuala Lumpur: Peningkatan gred Malaysia University English Test (MUET) ke tahap 2 bagi kemasukan pelajar ke universiti bermula tahun depan dilihat mampu menangani masalah lepasan graduan yang sukar mendapat pekerjaan kerana tidak mampu bertutur dalam BI dengan baik.
BN,Belalah Negara,"Ketiga adalah BN , walaupun kita ini Team Johor, tetapi masih anak Malaysia yang patriotik serta cintakan tanah air."
LSS,Lembaga Sungai Sarawak,"Jurucakap LSS berkata, 60 penumpang berjaya keluar dari bot yang dapat berhenti di tebing sungai."
CFS,Central Forest Spine,"Fasa keempat pula, kami merancang menanam pokok di beberapa kawasan di Perak, Kelantan dan Terengganu iaitu lokasi sebahagian Pelan Induk Rangkaian Koridor Ekologi CFS , katanya."
PGB,Petronas Gas Berhad,"Ulu Tiram: Kementerian Sumber Asli dan Alam Sekitar mengarahkan kilang menyadur bahan logam berhampiran paip gas PGB , di Taman Perindustrian Desa Cemerlang, Ulu Tiram, di sini menghentikan operasi selama 60 hari berikutan kebocoran asid sulfurik."
PDT,Permodalan Darul Tazim,"Kerajaan negeri menerusi PDT menawarkan jualan secara terus kepada penghuni bagi memberi peluang kepada penjawat awam untuk memiliki rumah di kawasan bandar, katanya."
SKM,Suruhanjaya Komunikasi Malaysia,"Antara agensi kerajaan yang menyertainya adalah Ibu Pejabat Polis Kontinjen (IPK) Pahang, Jabatan Pengairan dan Saliran (JPS) , Jabatan Perhutanan Negeri Pahang (JPNP) , Pejabat Menteri Besar, Ibu Pejabat Polis Daerah (IPD) Rompin, Pejabat Tanah dan Galian (PTG) , SKM , Jabatan Mineral dan Geosains (JMG) dan tiga wakil media."
JMM,Jabatan Meteorologi Malaysia," JMM dalam kenyataan media memaklumkan, gempa bumi berukuran 3."
PGM,Profesional Golf of Malaysia,"Kejohanan PGM Darulaman, yang mendapat pengiktirafan PGM Tour, adalah pusingan kesembilan bagi ADT musim 2016 dan juga hentian ketujuh Jelajah itu di Malaysia bagi musim ini."
GPN,Gred Purata Nasional,02 mata GPN iaitu daripada 2.
HEPA,Hal Ehwal Pelajar dan Alumni,"Sementara itu, Timbalan Naib Canselor, HEPA UMT, Prof Anuar Hassan berkata, ia adalah kes pertama membabitkan pelajar UMT."
EDC,Executive Development Centre,"Mengulas lanjut, Mohamed Mustafa berkata, UUM mula membina pengalaman keusahawanan dalam bidang minuman dan makanan melalui pengendalian EDC pada 2006 dan kini dikenali sebagai EDC Hotels & Resorts."
PBM,Pingat Bakti Masyarakat,Sebanyak 60 pula menerima Darjah Seri Melaka (DSM) ; 88 penerima Bintang Cemerlang Melaka (BCM) ; 111 menerima Bintang Khidmat Terpuji (BKT) ; 227 menerima Pingat Jasa Kebaktian (PJK) ; 137 menerima PBM dan 27 menerima Pingat Khidmat Lama (PKL) .
JBPM,Jabatan Bomba Penyelamat Malaysia,"Pegawai Perhubungan Media JBPM Pulau Pinang, Mohd Azman Hussin berkata, pihaknya menerima panggilan kecemasan pada 3."
MTMD,Majlis Tindakan Membanteras Dadah,"Beliau berkata demikian selepas mempengerusikan Minit Mesyuarat MTMD Melaka Tengah, di Wisma Negeri, di sini, hari ini."
SDAR,Sekolah Dato Abdul Razak,"Katanya, pihaknya juga sedang melakukan percubaan penggunaan seperti kad debit (cashless) di tiga sekolah iaitu di Kolej Tunku Kurshiah (TKC) di Negeri Sembilan, Seri Kuala Lumpur (Puteri) dan SDAR , Perak."
KSSM,Kurikulum Standard Sekolah Menengah,"Foto Fariz Iswadi Ismail PUTRAJAYA: Bermula tahun depan, kemahiran pemikiran komputasional dan sains komputer akan diintegrasi dalam Kurikulum Standard Sekolah Rendah (KSSR) dan KSSM , bermula dengan murid Tahun Satu, Tingkatan Satu dan Empat."
SAMM,Solidariti Anak Muda Malaysia,"Sementara itu, Pengasas SAMM , Badrul Hisham Shaharin (Chegubard) , berkata kenyataan Mukhriz itu jelas menunjukkan bekas Menteri Besar Kedah itu sememangnya bercita-cita mahu menjadi Perdana Menteri."
TTJ,Taman Tuanku Jaafar,"Hijat yang menetap di TTJ , berkata premis perniagaannya itu baru beroperasi enam bulan lalu."
HS,Hospital Serdang,"Saya hairan apabila mendapati ramai yang berada di luar rumah sehinggalah keluarga kepada menantu memberitahu bahawa mangsa sudah meninggal dunia, katanya ketika ditemui di Unit Forensik HS , semalam."
APL,Akademi Pelancongan Langkawi,"Bagaimanapun, penganjur membatalkan acara kayak kerana cuaca buruk, katanya ketika ditemui selepas majlis penutup dan penyampaian hadiah di APL ."
KDNKA,Keselamatan Dalam Negeri dan Ketenteraman Awam,"Turut hadir Pengarah Jabatan KDNKA Bukit Aman, Datuk Muhammad Fuad Abu Zarim dan Ketua Jabatan Ketenteraman Awam Kuala Lumpur, Datuk Wan Abdul Bari Wan Abdul Khalid."
RAP,Roslan Aziz Productions,"Sejak bersama RAP dulu, reputasi Zainal juga seiring dengan barisan pemuzik profesional yang mengiringinya."
SSP,Sekolah Sukan Pahang,"Potensi besar dimiliki Zulaika turut diakui Dhaarma, 48, yang berasakan pelajar SSP SMK Seberang Temerloh itu wajar diberi peluang."
PPM,Pasukan Polis Marin," PPM Wilayah 2 menahan enam warga Indonesia serta tiga lelaki tempatan yang bertindak sebagai pemandu lori dan penjaga jeti hingga berjaya merampas sejumlah 21,600 liter minyak jenis tyre oil selain menyita sebuah kapal tunda dan lori tangki bernilai kira-kira RM1."
BSN,Bank Simpanan Nasional,"SHAH ALAM: BSN menyumbang wang tunai berjumlah RM40,000 kepada empat buah sekolah di sekitar Selangor bagi menjayakan program BSN School Carnival 2015."
BPH,Baki Purata Harian,"2) Pindahkan baki akaun anda yang lain kepada Maybank; dengan kenaikan bulanan BPH mencapai minima RM3,000 dan anda akan menikmati tambahan 1."
ABK,Anugerah Bolasepak Kebangsaan,"IPOH: Penyerang terbaik ABK 2017, Muhammad Shahrel Fikri mendedahkan, kecederaan antara faktor yang mendorongnya untuk membatalkan niat berpindah ke Johor Darul Tazim (JDT) II dan memilih untuk kekal bersama Perbadanan Kemajuan Negeri Perak (PkNP) FC dalam kancah bola sepak Liga M 2018."
PPM,Persatuan Pancaragam Malaysia,"Turut hadir Pengarah Jabatan Kebudayaan, Kesenian, Pelancongan dan Sukan Dewan Bandaraya Kuala Lumpur (DBKL) Tuan Idzawi Raja Ismail, Presiden PPM Datuk Zulkifli Ishak dan Setiausaha PPM Rozan Mohamed."
